date,avgTemp,maxTemp,minTmep,rainFall,wind_velocity,avgHumid,Cloud,Sunlight,High_Q(10kg),Low_Q(10kg)
2005-01-01,-4.9,-1,-8.8,,2.1,42,0.9,10.15,"16,040","12,800"
2005-01-02,0.4,4.5,-5,0,2.8,59,5.6,5.23,"15,800","12,640"
2005-01-03,2.9,4.9,-2,1.5,3.6,70,7.6,0.52,"15,600","12,520"
2005-01-04,-4.9,-1.2,-7.4,,3.2,39,0,9.7,"15,400","12,400"
2005-01-05,-3.8,0.6,-8.8,,1.6,42,3.3,9.01,"15,600","12,640"
2005-01-06,0.1,2.4,-3.5,0,2,58,8,4.38,"15,840","12,840"
2005-01-07,-2.9,2.2,-6,0,3.6,52,1.5,10.15,"15,960","12,960"
2005-01-08,-5,0.8,-8,0,2.6,51,1.3,7.64,"16,080","13,080"
2005-01-09,-8,-4,-10.3,,2.9,44,0,10.73,"16,200","13,200"
2005-01-10,-5.7,-1.5,-10.8,0,2.1,58,3.1,7.91,"16,320","13,320"
2005-01-11,-6.3,-2.7,-8.5,,3,48,0.1,10.09,"16,360","13,360"
2005-01-12,-6.1,-2,-9.5,,2.1,45,0,10.14,"16,400","13,400"
2005-01-13,-4.8,-1.2,-8.3,,2.1,55,0.5,9.85,"16,400","13,400"
2005-01-14,-3.1,0.6,-7.3,,1.8,51,5,7.14,"16,480","13,480"
2005-01-15,-2.6,1.6,-6.5,,2.6,57,1.4,9.61,"16,560","13,560"
2005-01-16,-0.8,5.1,-4.6,0.3,2.7,67,4.4,8.71,"16,600","13,600"
2005-01-17,0.4,4.8,-4,,1.7,59,2,8.34,"14,820","11,820"
2005-01-18,0.3,3,-3.4,0.5,2.2,79,8.3,0.76,"14,830","11,830"
2005-01-19,-3.8,-0.2,-6,,3.4,49,0.5,11,"14,790","11,790"
2005-01-20,-5.9,-2.7,-7.8,,3.4,50,0,10.93,"14,750","11,750"
2005-01-21,-5.4,-0.6,-9.5,,1.9,45,0,11.44,"14,730","11,730"
2005-01-22,-2.2,2.5,-7.3,,1.2,41,5.1,9.26,"14,750","11,770"
2005-01-23,1.8,7,-2.7,,1.5,35,2.5,10.63,"14,780","11,820"
2005-01-24,1.3,5,-1,,1.8,67,4.1,4.83,"14,820","11,880"
2005-01-25,1.1,4.4,-2.2,,1.4,59,6.9,3.12,"14,890","11,970"
2005-01-26,1.6,6.1,-1.2,,1.8,60,0.3,9.37,"14,990","12,090"
2005-01-27,1.3,5.6,-2,,1.8,46,1.9,9.69,"15,130","12,230"
2005-01-28,2.1,7.3,-2.5,,1.7,45,0.3,9.14,"15,290","12,390"
2005-01-29,-0.8,2.7,-6.1,2.2,3.2,65,4.6,5.11,"15,490","12,590"
2005-01-30,-7,-3.7,-9.3,,3.1,40,2.3,11.31,"15,700","12,700"
2005-01-31,-7.3,-2.5,-11,0,3.8,40,1.5,10.3,"15,880","12,740"
2005-02-01,-10.2,-6.8,-13.1,,5,42,0.8,12.23,"15,980","12,780"
2005-02-02,-6.9,-2.5,-10.6,,3,49,0,12.4,"16,060","12,860"
2005-02-03,-4.6,0,-8.6,,1.9,52,2.5,11.61,"16,140","12,920"
2005-02-04,-1.5,2.4,-5,,2,44,4.8,10.96,"16,200","13,000"
2005-02-05,-1.6,2,-4.9,,2.7,48,2.3,12.52,"16,260","13,060"
2005-02-06,-0.1,5.5,-5,,1.3,36,2.3,9.44,"16,320","13,120"
2005-02-07,3.5,5.5,-0.8,0,1.7,48,9.3,2.13,"16,340","13,200"
2005-02-08,1.7,5.8,-0.6,0,2.2,56,2.4,10.21,"16,320","13,220"
2005-02-09,-1.4,0.8,-4.5,,2.1,58,6.6,3.52,"16,300","13,180"
2005-02-10,-6,-2,-8.8,,3,37,0.1,15.04,"16,300","13,160"
2005-02-11,-6,-1.6,-9.3,,2.7,38,0.3,15.1,"16,260","13,100"
2005-02-12,-4.1,0.1,-7.5,,2,45,4.1,9.45,"16,220","13,040"
2005-02-13,-1.6,3.5,-6.6,,1.8,53,0.5,12.77,"16,180","12,980"
2005-02-14,1.8,5.5,-2.5,,1.9,47,6.3,6.94,"16,100","13,040"
2005-02-15,4.6,10,0.8,5,3.9,48,7.5,4.73,"16,040","13,120"
2005-02-16,2.7,5,0.8,9,3.8,82,8.9,2.81,"16,100","13,220"
